City1,City2,Distance(km)
Athens,Munich,1495.6154915446907
Athens,Naples,872.3355031080534
Athens,Oslo,2605.2159728453566
Athens,Paris,2095.8478471737626
Athens,Podgorica,623.7918860503921
Athens,Prague,1533.2848480144326
Athens,Riga,2109.083820546234
Athens,Rome,1050.8613275323944
Athens,Sarajevo,790.6662139053977
Athens,Skopje,487.50152240928816
Athens,Sofia,525.2857882500681
Athens,Stockholm,2407.574087662192
Athens,Tallinn,2386.606272823467
Athens,Tbilisi,1843.3300418564422
Athens,Tirana,500.084955492753
Athens,Valencia,2091.21166442103
Athens,Vienna,1282.7287871937922
Athens,Vilnius,1861.035485709744
Athens,Yerevan,1806.5297405535684
Athens,Warsaw,1598.043993341473
Athens,Zagreb,1080.1695560903092
Athens,Nicosia,915.0386411037123
Barcelona,Belgrade,1529.051714834496
Barcelona,Berlin,1499.4475528057965
Barcelona,Bratislava,1394.7616110903937
Barcelona,Brussels,1065.6615733247188
Barcelona,Bucharest,1970.753262843124
Barcelona,Budapest,1497.3554368759824
Barcelona,Copenhagen,1759.3811676334929
Barcelona,Dublin,1471.854751984701
Barcelona,Edinburgh,1665.8256339686302
Barcelona,Florence,789.0053605532535
Barcelona,Geneva,623.2566751680862
Barcelona,Glasgow,1676.0638078134166
Barcelona,Hamburg,1472.8801930617913
Barcelona,Helsinki,2603.3062773711813
Barcelona,Istanbul,2234.1544598289047
Barcelona,Krakow,1676.7828407885165
Barcelona,Lisbon,1006.6665593910293
Barcelona,Ljubljana,1117.2302636700092
Barcelona,London,1139.1193149200992
Barcelona,Luxembourg City,965.0257196856898
Barcelona,Madrid,505.4434712447793
Barcelona,Milan,725.3503885637436
Barcelona,Minsk,2335.5688047931894
Barcelona,Monaco,503.2772656535648
Barcelona,Moscow,3009.7886296633237
Barcelona,Munich,1054.5371313316894
Barcelona,Naples,1014.0674770367959
Barcelona,Oslo,2143.0732224070903
Barcelona,Paris,830.9106544989294
Barcelona,Podgorica,1416.5404390027359
Barcelona,Prague,1353.134825314378
Barcelona,Riga,2332.685869818322
Barcelona,Rome,859.1942100230517
Barcelona,Sarajevo,1354.5340870672653
Barcelona,Skopje,1596.6396833334595
Barcelona,Sofia,1747.94277589774
Barcelona,Stockholm,2278.564810323929
Barcelona,Tallinn,2540.700578801958
Barcelona,Tbilisi,3512.5441321225676
Barcelona,Tirana,1470.235136606745
Barcelona,Valencia,303.17111076032415
Barcelona,Vienna,1349.8273627812766
Barcelona,Vilnius,2248.2435280501304
Barcelona,Yerevan,3531.623157375989
Barcelona,Warsaw,1863.571348607075
Barcelona,Zagreb,1214.0244649281226
Barcelona,Nicosia,2792.4906819994903
Belgrade,Berlin,999.7719913984793
Belgrade,Bratislava,450.39608447069816
Belgrade,Brussels,1372.4691701784202
Belgrade,Bucharest,448.8280889453605
Belgrade,Budapest,317.36775138711744
Belgrade,Copenhagen,1329.3447513926035
Belgrade,Dublin,2147.518190655711
Belgrade,Edinburgh,2066.9782008618586
Belgrade,Florence,741.1117658538953
Belgrade,Geneva,1124.3892996850307
Belgrade,Glasgow,2122.296306521772
Belgrade,Hamburg,1230.7858554485836
Belgrade,Helsinki,1732.7907410797463
Belgrade,Istanbul,812.3887761969637
Belgrade,Krakow,584.7155970880576
Belgrade,Lisbon,2530.928276248619
Belgrade,Ljubljana,484.2108817107078
Belgrade,London,1690.5051466072061
Belgrade,Luxembourg City,1203.5154348596182
Belgrade,Madrid,2028.4245594902513
Belgrade,Milan,885.8847672868837
Belgrade,Minsk,1132.086135411093
Belgrade,Monaco,1043.2898548786982
Belgrade,Moscow,1713.1927001496044
Belgrade,Munich,772.5821021517606
Belgrade,Naples,669.8106198985748
Belgrade,Oslo,1798.912643133534
Belgrade,Paris,1444.422206151182
Belgrade,Podgorica,281.1929640164555
Belgrade,Prague,738.8720586384055
Belgrade,Riga,1372.5807689623896
Belgrade,Rome,720.1235055731171
Belgrade,Sarajevo,194.53353062463623
Belgrade,Skopje,323.12133046568346
Belgrade,Sofia,329.3651793764354
Belgrade,Stockholm,1621.5996057089387
Belgrade,Tallinn,1650.9983209718712
Belgrade,Tbilisi,1995.3575901872618
Belgrade,Tirana,391.5223487989821
Belgrade,Valencia,1811.5588599602247
