City1,City2,Distance (km)
Atlanta,Cleveland,890.9123519231016
Atlanta,Columbus,703.6775864713053
Atlanta,VirginiaBeach,829.0496544088759
Atlanta,Charlotte,366.30496638174577
Atlanta,Milwaukee,1079.127948270092
Atlanta,Providence,1449.3581486586988
Atlanta,Jacksonville,460.9824296367129
Atlanta,Nashville,343.5821374336668
Atlanta,SaltLakeCity,2543.8703212736054
Atlanta,Raleigh,575.557425043737
Atlanta,Richmond,754.2431495558271
Atlanta,Memphis,529.942586547561
Atlanta,OklahomaCity,1212.001440763721
Atlanta,Hartford,1360.3152066516584
Atlanta,Louisville,501.91930600816266
Atlanta,Buffalo,1125.8279231198153
Atlanta,NewOrleans,662.2825244735122
Washington,Boston,628.0483873352481
Washington,Phoenix,3180.745288995938
Washington,Detroit,642.5999863243666
Washington,Seattle,3737.303409825792
Washington,SanFrancisco,3923.092272200945
Washington,SanDiego,3646.4726702423277
Washington,Minneapolis,1499.9576836024219
Washington,Tampa,1312.8486490905734
Washington,Denver,2388.315523173466
Washington,Riverside,3625.03042951198
Washington,LasVegas,3359.511896379879
Washington,Baltimore,56.43430905883873
Washington,St.Louis,1146.2494238877723
Washington,Portland,3776.8348583586194
Washington,SanAntonio,2231.6545571075676
Washington,Sacramento,3816.6042232772134
Washington,Austin,2118.49221488537
Washington,Orlando,1226.018848735897
Washington,SanJose,3887.0083309543065
Washington,Pittsburgh,305.44490344704195
Washington,Indianapolis,790.7237053967825
Washington,Manhattan,333.8011300085246
Washington,Cincinnati,647.3602985819039
Washington,KansasCity,1513.0553198065463
Washington,Cleveland,488.48566470523093
Washington,Columbus,526.3682648610608
Washington,VirginiaBeach,256.097211478741
Washington,Charlotte,532.3173750073349
Washington,Milwaukee,1027.9117871082105
Washington,Providence,574.446482796272
Washington,Jacksonville,1043.791354876852
Washington,Nashville,912.7245765294176
Washington,SaltLakeCity,2968.545577141628
Washington,Raleigh,370.6154339710225
Washington,Richmond,158.09151419619718
Washington,Memphis,1223.5652189423831
Washington,OklahomaCity,1851.3503371091765
Washington,Hartford,485.7954491948981
Washington,Louisville,755.0081416506677
Washington,Buffalo,470.3468676319917
Washington,NewOrleans,1535.3585863179803
Boston,Phoenix,3686.2903773810476
Boston,Detroit,986.7335409503568
Boston,Seattle,3999.296606079224
Boston,SanFrancisco,4335.321577848365
Boston,SanDiego,4138.634228315405
Boston,Minneapolis,1803.2169499443185
Boston,Tampa,1894.3112132703666
Boston,Denver,2829.4822814100403
Boston,Riverside,4103.782071786952
Boston,LasVegas,3818.8472162760295
Boston,Baltimore,573.2338906923379
Boston,St.Louis,1667.5548752374236
Boston,Portland,4073.575596856736
Boston,SanAntonio,2836.5614492920304
Boston,Sacramento,4221.6517602780905
Boston,Austin,2720.997521700101
Boston,Orlando,1794.694942239303
Boston,SanJose,4307.284041398841
Boston,Pittsburgh,770.2751310766606
Boston,Indianapolis,1292.3331620110312
Boston,Manhattan,294.29052430096
Boston,Cincinnati,1183.2817928042093
Boston,KansasCity,2002.8081136403819
Boston,Cleveland,881.3455348548856
Boston,Columbus,1028.5928221601946
Boston,VirginiaBeach,752.383569284198
Boston,Charlotte,1155.7094040923632
Boston,Milwaukee,1379.9420947396698
Boston,Providence,61.62079540602011
Boston,Jacksonville,1633.0837995433692
Boston,Nashville,1511.6356857887088
Boston,SaltLakeCity,3370.639966845921
Boston,Raleigh,971.7156147418976
Boston,Richmond,761.5126492188309
Boston,Memphis,1818.3740880058667
Boston,OklahomaCity,2399.268307062567
Boston,Hartford,145.58188008380856
Boston,Louisville,1317.4083894928883
Boston,Buffalo,638.4067060673094
Boston,NewOrleans,2162.7062185412306
Phoenix,Detroit,2706.672145910225
Phoenix,Seattle,1781.6518801686416
Phoenix,SanFrancisco,1043.9515466904213
Phoenix,SanDiego,475.4206787849993
Phoenix,Minneapolis,2047.9567918062876
Phoenix,Tampa,2888.506208971249
Phoenix,Denver,941.4796485753928
Phoenix,Riverside,492.1387093137431
Phoenix,LasVegas,414.0167798561783
Phoenix,Baltimore,3215.4164023983253
Phoenix,St.Louis,2036.0436070031258
Phoenix,Portland,1606.1714792573857
Phoenix,SanAntonio,1363.3128483917708
Phoenix,Sacramento,1008.7028245613576
Phoenix,Austin,1399.6135165858987
Phoenix,Orlando,2973.219965018148
Phoenix,SanJose,975.8384257970597
Phoenix,Pittsburgh,2934.214987848293
Phoenix,Indianapolis,2404.6447514614742
Phoenix,Manhattan,3442.728897753141
Phoenix,Cincinnati,2535.7777801379484
Phoenix,KansasCity,1683.8928870154894
Phoenix,Cleveland,2805.1244167105115
Phoenix,Columbus,2675.051137341992
Phoenix,VirginiaBeach,3276.5955270952613
Phoenix,Charlotte,2862.2720619908073
Phoenix,Milwaukee,2342.645930787231
Phoenix,Providence,3657.567583024687
Phoenix,Jacksonville,2881.67542783228
Phoenix,Nashville,2319.900447703933
Phoenix,SaltLakeCity,801.325923425466
Phoenix,Raleigh,3053.011120446015
Phoenix,Richmond,3144.312812289474
Phoenix,Memphis,2034.1719265966622
Phoenix,OklahomaCity,1350.6062485348325
Phoenix,Hartford,3552.602862915192
Phoenix,Louisville,2427.853758117545
Phoenix,Buffalo,3059.2760900006856
Phoenix,NewOrleans,2125.413402088864
Detroit,Seattle,3103.8493978428255
Detroit,SanFrancisco,3356.641945336953
Detroit,SanDiego,3154.5059550641026
Detroit,Minneapolis,865.7109988182434
Detroit,Tampa,1601.0739729475779
Detroit,Denver,1843.0997240038907
Detroit,Riverside,3117.7360587829057
Detroit,LasVegas,2832.1402587946623
